Id,Nombre d'étoiles,Commentaire,Date,Répondu
64,5,Lots intéressants et bien emballés.Livraison dans les délais indiqués.Lots intéressants et bien emballés.Très satisfaite de cette expérience,07 octobre 2022,0
65,5,Je n'ai pas vu les livreur donc le code…Je n'ai pas vu les livreur donc le code qu on reçoit ne sert à rien Sinon le service impeccable,09 novembre 2022,0
66,5,"Livraison trés rapideLivraison trés rapide, facilité de commande pour un particulier. Un petit bémol concernant l épaisseur du carton, décrit comme double cannelure je m attendais à un peu plus épais.",17 octobre 2022,0
67,5,"Je recommande carton marketJe recommande carton market , commandé le 13 octobre 2022 , recu le 14 octobre 2022 , j'ai commandé le super kit , les cartons sont très bien emballés Très content de ma commande",13 octobre 2022,0
68,3,"Réception rapide mais déçu par…Réception rapide mais déçu par l’emballage, les cartons sont pliés et déformés à l’intérieur",03 novembre 2022,0
69,5,"J'ai commandé mon lot de carton le…28/10/2022J'ai commandé mon lot de carton le vendredi 28/10/2022, dans l'après midi, reçu le samedi 29/10/2022 à 9 h. Excellent.",28 octobre 2022,0
70,4,Bonne livraison dans les temps promis…Bonne livraison dans les temps promis pour des produits de qualité et conformes à leur présentation.,02 novembre 2022,0
71,5,"Tout impeccableTout impeccable. Le produit, le délai et la livraison. Ainsi que le conditionnement. Je recommande.",02 novembre 2022,0
72,5,"Totale satisfactionLivraison rapide, colis correspondant à la commande, qualité des cartons",09 novembre 2022,0
73,5,"livré dans les 48hlivré dans les 48h, et complètement conforme",15 novembre 2022,0
74,5,"PersonnelPersonnel, équipe très agréable et efficace.",17 novembre 2022,0
75,5,Je recommande à 300 %Rapide... Livraison plus vite que prévu !!!,07 novembre 2022,0
76,5,COMMANDECOMMANDE - RECEPTIONJ'ai reçu les cartons que j'attendais.,03 novembre 2022,0
77,5,Je suis très satisfaite de ce site car…Je suis très satisfaite de ce site car ils me livre en temps et en heure.Je suis vraiment très satisfaite,05 novembre 2022,0
78,5,"5/5 pour le prix et délaipour le prix , la rapidité de livraison , la courtoisie du livreur.. oui c'était parfait 5/5",02 novembre 2022,0
79,4,"Je recommandéDes cartons de bonne qualité et un très bon service client, juste un petit soucis de commande. Sinon j'adore ma commande et m'a bien été utile.Merci",07 octobre 2022,0
80,5,Cartons de qualitéCartons de qualitéLivraison rapide,17 novembre 2022,0
81,5,Livraison très rapide et très bon…Livraison très rapide et très bon fournisseur.,10 novembre 2022,0
82,5,"Des cartons de très bonnes qualités.Des cartons de très bonnes qualités.Un plus pourrait être apporter pour faciliter le repérage des différents modèles = inscrire sur tous les cartons, les dimensions",17 octobre 2022,0
83,5,Livraison conforme à la commandeLivraison conforme à la commande. Produits de très bonne qualité Livraison en 48 h,31 octobre 2022,0
84,5,"Excellent siteExcellent site, je recommande. Livraison ultra express, cartons de qualité, faciles à mettre en forme. De toutes façons tout est expliqué sur le site. Génial!",07 octobre 2022,0
85,4,"Prestations de qualitéPrestations de qualité, tarif et livraison conformes",14 novembre 2022,0
86,5,Commande reçue rapidement et conforme à…Commande reçue rapidement et conforme à mes attentes,10 novembre 2022,0
87,5,Parfait produit livré rapidement et…Parfait produit livré rapidement et conforme à mes attentes merci,05 novembre 2022,0
88,4,"Service de qualitéService de qualité, Sav rapide, expédition rapide, je ne met pas 5 étoile seulement pour les hausses de tarifs, mais sinon tout est nickel",20 octobre 2022,0
89,5,ParfaitAccueil téléphonique et emballage parfait Seul hic : le transporteur ne monte pas dans les étages et donc vous etes avec vos gros paquets dans le hall ...,07 octobre 2022,0
90,4,"Paquet arrivé très rapidement mais…Paquet arrivé très rapidement mais malheureusement le carton d'emballage était endommagé.Par chance, le contenu n'était pas abimé",18 octobre 2022,0
91,5,"DéménagementJ'ai acheté 15 cartons de déménagement, je les ai reçu rapidement moins d'une semaine, je suis satisfaite de leurs épaisseurs.",10 octobre 2022,0
92,5,"Matériel de qualité, livré rapidementLivraison conforme à la description, les cartons sont de qualité, et la livraison ultra rapide",20 octobre 2022,0
93,5,"Rapide et conforme à la commandeProduit conforme à la commande, délais de livraison courts. Je recommande",07 novembre 2022,0
94,5,Commande reçue le lendemain.Commande reçue le lendemain.Merci,07 novembre 2022,0
95,5,"Très satisfaiteLivrer rapidement, et la commande correspond à mes attentes.",04 novembre 2022,0
96,5,Livraison très rapide et produits…Livraison très rapide et produits conformes.Je recommande.,28 octobre 2022,0
97,5,"Ces cartons sont de très bonne qualité…Ces cartons sont de très bonne qualité et ceux pour les verres,assiettes, bouteilles etc très pratiques. Quel gain de temps.",13 octobre 2022,0
98,4,Seulement 4 étoiles car le scotch se…Seulement 4 étoiles car le scotch se décolle tout seul après la pose (entre 1 et 2 jours),31 octobre 2022,0
99,5,"Super cartonsSuper cartons, grand choix... livraison rapide ! je recommande !",03 novembre 2022,0
100,5,Commande conforme à mes attentes.,10 novembre 2022,0
101,5,Envoi rapide et conforme merci,15 novembre 2022,0
102,5,Service ultra réactifTrès satisfait du service,01 novembre 2022,0
103,5,livraison en 24h et parfaitement…livraison en 24h et parfaitement conforme à la commande,03 novembre 2022,0
104,5,Rapide et efficace !👍👌,10 novembre 2022,0
105,5,Pour ma deuxième commandes très…Pour ma deuxième commandes très satisfait !!! Boite sérieuse et rapide 👍🏻.,28 octobre 2022,0
106,5,Très satisfaite par la qualité des…Très satisfaite par la qualité des cartons.,11 novembre 2022,0
107,5,Livraison réalisé avec promptitude et…Livraison réalisé avec promptitude et efficacité.,04 novembre 2022,0
108,5,L'entreprise travaille rapidement et…L'entreprise travaille rapidement et efficacement,09 novembre 2022,0
109,5,Rapide et conformeRapide et conforme. Dommage que les frais de livraison soient aussi élevés.,26 octobre 2022,0
110,5,EfficaceCommande facile et rapidité de livraison !,08 novembre 2022,0
111,5,"ServicesProduitsProduits, rapidité du service toujours excellents .",21 octobre 2022,0
112,5,Rapidité et bonne qualité des produits,03 novembre 2022,0
113,5,"Très bienRapidité, choix, économique et qualité",10 novembre 2022,0
114,5,livraison rapidelivraison rapide. cartons adaptés pour livres.,28 octobre 2022,0
115,5,"Rapidité, qualitéQualité,  prix et rapidité de livraison",03 novembre 2022,0
116,5,Déménager sans souciPrise en compte de la commande parfaite et livraison express le lendemain. C'est parfait.,06 octobre 2022,0
117,5,RAPIDECartons de bonne qualité / service rapide,08 novembre 2022,0
118,5,Parfait!2ème commande. Comme la 1ère : parfaite : qualité du matériel et livraison.,18 octobre 2022,0
119,5,Livraison rapide.,08 novembre 2022,0
120,5,Service de plus en plus rapide,11 novembre 2022,0
121,5,Tout était parfait livraison rapide et…Tout était parfait livraison rapide et qualité des produits,17 octobre 2022,0
122,5,Super site livraion ultra rapide et aux…Super site livraion ultra rapide et aux tarifs honnete. Cartons de bonne qualités,10 octobre 2022,0
123,5,Impossible faire mieuxLivré en temps et en heureTout conforme et parfaitJe recommande,24 octobre 2022,0
124,5,"Commande rapideCommande rapide , livraison rapide , pleine satisfaction",25 octobre 2022,0
125,5,Bonne communication par mail livraison…Bonne communication par mail livraison rapide tout à été  parfait merci à vous !,11 octobre 2022,0
126,5,Traitement rapide de notre commandeTraitement rapide de notre commande. Parfait ! Merci 🙂,24 octobre 2022,0
127,5,Livraison rapide et conforme,07 novembre 2022,0
128,5,"excellents services expédition très…excellents services expédition très rapide, bons produits",13 octobre 2022,0
129,5,Bonne qualitéLivraison conforme,14 novembre 2022,0
130,5,GreatTrès bien ........,14 novembre 2022,0
131,5,"parfaitImpeccable, livraison respectée et bcp de choix",02 novembre 2022,0
132,5,Parfait de la commande à la livraison.,05 novembre 2022,0
133,5,Excellent produit.Excellent produit.Très vite expédié.Des pros!Merci.,25 octobre 2022,0
134,5,tres bien je recommanderai volontiers,03 novembre 2022,0
135,4,"rapiderapide , parfait",09 novembre 2022,0
136,5,Envoi rapide et cartons de qualité,07 novembre 2022,0
137,5,Livraison ultra rapide je recommande,07 novembre 2022,0
138,5,A peine commandé déjà livré !!!A peine commandé déjà livré !!!cartons parfaits pour les livres,20 octobre 2022,0
139,5,"Livraison impeccableLivraison impeccable, rapide et livreur courtois,poli et souriant !",15 octobre 2022,0
140,5,"Produits de bonne qualitéProduits de bonne qualité, livraison rapide",21 octobre 2022,0
141,4,Livraison rapide après la commandeMarchandises de bonne qualité livrées le jour convenu,24 octobre 2022,0
142,5,Livrée dans les temps et produit…Livrée dans les temps et produit conforme,28 octobre 2022,0
143,5,commande parfaite livraison nickel,06 novembre 2022,0
144,5,rapide comme dab :):),08 novembre 2022,0
145,4,Site bien clair .expédition rapide.,04 novembre 2022,0
146,5,Livraison rapide et conforme,31 octobre 2022,0
147,5,"ParfaitParfait, livraison dans délai annoncé.Bonne qualité",21 octobre 2022,0
148,5,Parfait rapide et conforme,02 novembre 2022,0
149,5,"Absolument parfait,rapide",29 octobre 2022,0
150,5,Bien livré dans les temps et sans…Bien livré dans les temps et sans complications.,21 octobre 2022,0
151,5,"Commande conformeCommande conforme, produits de bonne qualité. Merci",21 octobre 2022,0
152,5,Toujours au top livraison en 24h…Toujours au top livraison en 24h vraiment bien,27 octobre 2022,0
153,4,Produit nickelProduit nickel. Livraison avec un jour de décalage,12 octobre 2022,0
154,5,Rapide et efficace.,28 octobre 2022,0
155,5,Rapide & efficace !,03 novembre 2022,0
156,5,Respect des délais et bonne qualité,26 octobre 2022,0
157,5,"Rapide et compétitifRapide, compétitif et qualitatif, je recommande.",17 octobre 2022,0
158,5,Service très rapide et produits de…Service très rapide et produits de qualité !,21 octobre 2022,0
159,5,ParfaitParfait. Conforme à ma demande.,20 octobre 2022,0
160,5,Rapide efficace RAS,03 novembre 2022,0
161,5,"livraison rapidelivraison rapide, carton de bonne qualité",25 octobre 2022,0
162,5,Excellent service.Livré le lendemain après-midi.,25 octobre 2022,0
163,5,PARFAITPARFAIT surtout pour la prise de frendez vous,14 octobre 2022,0
164,5,SERVICE EFFICACE...BONNE…SERVICE EFFICACE...BONNE FABRICATION...PARFAIT,20 octobre 2022,0
165,5,Livraison expresseLivraison expresse ! Commande conforme.,18 octobre 2022,0
166,5,Très bon serviceTrès bon serviceTrès bon suivi de ma commande,05 octobre 2022,0
167,5,Aucun problème sauf le coût du port...,04 octobre 2022,0
168,5,Impeccable rien à redire,02 novembre 2022,0
169,5,Ok conforme et réactif,27 octobre 2022,0
170,5,Très bon service de qualité,27 octobre 2022,0
171,5,Première commande c'est très bien…Première commande c'est très bien déroulée.,17 octobre 2022,0
172,5,Bon rapport qualité/prix,01 novembre 2022,0
173,3,cartons pas suffisamment épais.,27 octobre 2022,0
174,4,Personnel très sympa et professionnel,04 octobre 2022,0
175,5,Sérieux et confirme à la commandeSérieux et conforme à la commande,18 octobre 2022,0
176,5,très bonne qualité des cartons .,25 octobre 2022,0
177,5,RapideRapide. Livraison top.,27 octobre 2022,0
178,4,emballage bien mais reste fragile.,15 octobre 2022,0
179,4,fragile au niveau poignéeemballage bien mais reste fragile.,15 octobre 2022,0
180,5,RapideDélais courts ... matériel OK,20 octobre 2022,0
181,5,"ParfaitParfait, efficace",27 octobre 2022,0
182,5,Livraison OK cartons très adapté,20 octobre 2022,0
183,5,tres bien bon site serieux,18 septembre 2022,0
184,4,"Bon serviceBon service, bonne qualité.",21 octobre 2022,0
185,5,Très bien bonne accueilAccueil agréable,24 octobre 2022,0
186,5,"Très bon serviceTrès bon service, merci!",11 octobre 2022,0
187,5,Rapidité du service !,21 octobre 2022,0
188,5,Très bienService rapide et impeccable.,17 octobre 2022,0
189,5,tres satisfaite,24 octobre 2022,0
190,5,très rapide!,26 octobre 2022,0
191,4,Livraison relativement rapide,15 septembre 2022,0
192,5,Tres rapide et conforme,03 octobre 2022,0
193,5,"Très bienTrès bien, livraison conforme",01 octobre 2022,0
194,5,Très bien rien a dire,20 octobre 2022,0
195,5,Colis reçu dans les délais,20 octobre 2022,0
196,5,Service efficace,12 octobre 2022,0
197,5,Parfait et rapide,12 octobre 2022,0
198,5,Parfait rapide,14 octobre 2022,0
199,5,a travaillerbon produitun peu cher,05 octobre 2022,0
200,5,Rapidité de commande et de livraisonRapidité de commande et de livraison Qualité des produits,19 octobre 2022,0
201,5,Commande site Leroy MerlinCommande facile par le market place de Leroy Merlin,11 octobre 2022,0
202,3,"Satisfait, mais...Dans l'ensemble satisfait. Par contre nous regrettons que les cartons ne soient pas repérés. Très laborieux pour si retrouver dans les cartons pour verres ou assiettes et idem pour les intercalaires. Pourquoi ne pas les attacher par catégorie?",10 octobre 2022,0
203,5,ParfaitParfait Commande reçu le lendemain,29 septembre 2022,0
